sentence	sentiment
In several projects the technical complexity has led to problems with implementation, causing heavy losses. 	0
To return to profitability in this environment, SMA will adjust its structures to the lower sales level. 	0
Investment advisory fees are expected to drop accordingly in the coming financial year. 	1
The designated sponsor agreement with the BHF Bank, of Frankfurt am Main, has been terminated. 	0
In addition, due to the persistence of the poor economic situation, the Management Board had to increase risk provisioning by means of precautionary valuation allowances on receivables and increased provisions. 	0
However, settlement and closing of the Offering is not conditional upon obtaining such inclusion to trading. 	0
The recent discussions with investors were burdened by the high amount of financial debt and liabilities built over the last years. 	0
The net loss after currency losses and extraordinary write downs comes to TCHF -1073. 	0
Since October MLP has registered increased momentum in its year-end old-age pension provision business, which, because of the current restraint on the part of many private clients -- at least from a present perspective -- is not expected to match the growth dynamics of previous years. 	0
On the one hand a weaker economic environment, on the other hand run-up costs for projects and opportunity costs, which are due to the high demand for the CANCOM AHP Private Cloud. 	0
There were additional burdens on earnings from a shift in demand towards smaller models and from exchange-rate effects. 	0
On the explosion protection market, this development leads to a lower order volume, intensified competition and an increased pricing pressure. 	0
Outlook for 2006 The Board of Management of Müller Weingarten AG is expecting the difficult market situation to continue and therefore forecasts a substantial pre-tax consolidated loss for fiscal year 2006 also. 	0
Unfortunately HOCHDORF Nutrimedical Ltd.'s business in the area of medical nutrition was unable to make significant headway in the first half of the year. 	0
However the reduced milk production did mean it was not possible to maintain all customer relationships built up in the area of exports. 	0
According to the auditors, due to the extraordinary situation in context with ongoing listing of the DF Deutsche Forfait AG on the OFAC sanction list, the appropriateness of the accounts under the going concern assumption can not be assessed. 	0
In light of the ongoing restructuring negotiations the bank consortium has agreed to only seriously demand payment from the single ship companies of the amounts due under the respective ship financing loans, to the extent the respective single ship companies actually have the financial capacity to make such payments in light of their revenue situation and the liquidity accumulated until the relevant due dates. 	0
Both parties have agreed not to disclose the purchase price of this acquisition. 	0
An initial estimate puts the economic risks at approximately two billion euros. 	0
RWE Aktiengesellschaft today decided to implement the previously announced capital measure. 	1
CFO Frans van der Vorst values the closure of the bridge financing by the shareholders as a sign of trust in the corporate strategy and the sales potential of the current and future product pipeline. 	1
Marenave Schiffahrts AG announced that an agreement on the restructuring of the loans for a total of eight single ship subsidiaries of Marenave Schiffahrts AG was reached today with the banks underwriting the financing. 	1
The R&D decrease is also a part of the financial discipline/cost cutting program instituted company-wide. 	0
Continued investment restraint in the large press sector and, above all, the performance of Müller Weingarten Werkzeuge GmbH will have a negative impact on the final result. 	0
Already in the fourth quarter of 2008, the Automotive division experienced a substantial reduction in orders received, a situation that has also affected the Seating Systems division since the beginning of this year. 	0
This is primarily due to the continued weak export business as a result of the real estate crisis in Southern Europe and the UK. 	0
German wind energy provided at no charge, for example, is preventing the construction of new power plants in Poland. 	0
His successor will be appointed in the immediate future. 	0
Due to the high demand for new shares the main shareholder, Mr. Ulrich Marseille, only subscribed for shares in a lower number than the additional subscription rights he had requested. 	1
